open,high,low,close,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_100,ema_100,sma_200,ema_200,macd,macd_signal,macd_histogram,rsi_14,rsi_21,stoch_k,stoch_d,williams_r,cci,adx,di_plus,di_minus,momentum_10,roc_10,trix,atr,bb_upper,bb_middle,bb_lower,bb_width,bb_position,resistance_level,support_level,resistance_distance,support_distance,trend_slope,trend_strength,trend_direction,doji,hammer,bullish_engulfing,bearish_engulfing,price_change,price_change_abs,hl_range,body_size,upper_shadow,lower_shadow,gap_up,gap_down,sma_5_20_cross,sma_10_50_cross,price_vs_sma_20,price_vs_ema_20,volatility_10,volatility_20
23336.95,23338.45,23313.65,23314.2,23323.69,23319.13,23304.49,23307.05,23282.01,23290.03,23281.41,23299.93,23366.63,23345.99,23437.03,23413.92,15.82,7.98,7.84,58.71,54.41,87.72,90.26,-29.74,86.27,29.31,35.53,18.8,52.85,0.23,-0.01,20.54,23341.1,23282.01,23222.92,0.51,77.24,23340.95,23206.35,0.11,0.46,4.7,0.84,1,0,0,0,0,-0.1,0.1,0.11,0.1,0.01,0.0,0.0,0.0,1,1,0.14,0.1,0.1,0.13
23314.0,23322.9,23310.05,23322.0,23324.25,23320.09,23310.37,23309.77,23286.84,23293.07,23279.34,23300.79,23364.81,23345.52,23436.72,23413.01,16.2,9.62,6.58,60.64,55.79,80.97,87.04,-22.98,63.79,29.19,33.89,19.23,58.8,0.25,-0.01,19.99,23342.33,23286.84,23231.34,0.48,81.68,23340.95,23206.35,0.08,0.5,4.38,0.83,1,0,0,0,0,0.03,0.03,0.06,0.03,0.0,0.02,0.0,0.0,1,1,0.15,0.12,0.08,0.12
23321.3,23322.3,23277.05,23280.85,23317.62,23307.01,23310.39,23304.51,23287.75,23291.91,23276.28,23300.01,23362.59,23344.24,23436.11,23411.69,13.03,10.3,2.73,47.9,47.78,58.13,75.61,-72.89,-24.19,27.32,28.87,27.19,0.2,0.0,-0.01,21.79,23342.21,23287.75,23233.3,0.47,43.66,23340.95,23239.2,0.26,0.18,3.91,0.69,1,0,0,0,0,-0.18,0.18,0.19,0.17,0.0,0.02,0.0,0.0,1,1,-0.03,-0.05,0.08,0.12
23280.55,23308.4,23280.55,23306.3,23312.06,23306.77,23312.2,23304.83,23290.0,23293.28,23273.54,23300.26,23360.76,23343.49,23435.62,23410.64,12.44,10.73,1.7,54.3,52.23,54.03,64.38,-42.03,-9.71,25.58,26.28,24.76,18.15,0.08,-0.01,22.22,23343.62,23290.0,23236.37,0.46,65.2,23340.95,23239.2,0.15,0.29,3.76,0.66,1,0,0,0,0,0.11,0.11,0.12,0.11,0.01,0.0,0.0,0.0,1,1,0.07,0.06,0.07,0.12
23304.85,23321.15,23301.05,23320.15,23308.7,23311.23,23314.92,23307.62,23293.48,23295.84,23271.04,23301.04,23359.02,23343.03,23435.08,23409.74,12.93,11.17,1.76,57.36,54.45,53.28,55.15,-25.23,38.5,24.52,28.7,23.15,27.15,0.12,-0.01,22.07,23345.41,23293.48,23241.54,0.45,75.68,23340.95,23239.2,0.09,0.35,3.57,0.63,1,0,0,0,0,0.06,0.06,0.09,0.07,0.0,0.02,0.0,0.01,1,1,0.11,0.1,0.07,0.11
23320.7,23331.75,23320.7,23329.8,23311.82,23317.42,23317.75,23311.65,23297.27,23299.07,23268.79,23302.16,23357.28,23342.76,23434.52,23408.95,13.94,11.72,2.21,59.41,55.95,72.88,60.07,-14.1,81.51,23.96,31.14,22.25,28.35,0.12,-0.01,21.32,23348.17,23297.27,23246.37,0.44,81.95,23340.95,23249.45,0.05,0.34,3.47,0.62,1,0,0,0,0,0.04,0.04,0.05,0.04,0.01,0.0,0.0,0.0,1,1,0.14,0.13,0.07,0.11
23329.8,23329.8,23299.55,23307.15,23308.85,23314.0,23316.55,23310.83,23299.7,23299.84,23266.15,23302.36,23355.31,23342.06,23433.91,23407.93,12.76,11.93,0.83,52.99,51.76,69.26,65.14,-52.9,3.64,22.39,28.07,26.94,-12.05,-0.05,-0.01,21.96,23347.53,23299.7,23251.87,0.41,57.79,23340.95,23251.0,0.15,0.24,3.0,0.52,1,0,0,0,0,-0.1,0.1,0.13,0.1,0.0,0.03,0.0,0.0,1,1,0.03,0.03,0.07,0.11
23307.25,23323.8,23307.25,23316.25,23315.93,23314.75,23316.78,23311.82,23302.54,23301.4,23263.63,23302.9,23353.28,23341.55,23433.44,23407.02,12.42,12.03,0.39,55.09,53.24,64.78,68.97,-38.65,14.73,20.94,26.53,25.45,2.25,0.01,-0.01,21.58,23347.08,23302.54,23258.01,0.38,65.39,23340.95,23258.5,0.11,0.25,2.59,0.45,1,0,0,0,0,0.04,0.04,0.07,0.04,0.03,0.0,0.0,0.0,1,1,0.06,0.06,0.07,0.1
23316.0,23329.65,23316.0,23321.75,23319.02,23317.08,23315.54,23313.62,23304.97,23303.34,23261.32,23303.64,23351.36,23341.16,23432.99,23406.17,12.45,12.11,0.34,56.36,54.13,59.47,64.5,-30.05,50.86,19.86,27.28,24.27,-12.35,-0.05,-0.01,21.02,23348.12,23304.97,23261.82,0.37,69.44,23340.95,23258.5,0.08,0.27,2.41,0.41,1,0,0,0,0,0.02,0.02,0.06,0.02,0.03,0.0,0.0,0.0,1,1,0.07,0.08,0.07,0.09
23321.75,23321.75,23303.8,23312.1,23317.41,23315.42,23313.06,23313.35,23306.13,23304.18,23263.87,23303.98,23349.25,23340.58,23432.58,23405.24,11.57,12.0,-0.44,53.5,52.29,62.05,62.1,-45.15,-32.92,18.63,25.6,26.97,-24.85,-0.11,-0.01,20.8,23348.74,23306.13,23263.52,0.37,57.01,23340.95,23258.5,0.12,0.23,2.25,0.37,1,0,0,0,0,-0.04,0.04,0.08,0.04,0.0,0.04,0.0,0.0,1,1,0.03,0.03,0.06,0.09
