datetime,open,high,low,close,atr_14,rsi_14,STOCHk_14_3_3,STOCHd_14_3_3,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,adx_14,ema_50,ema_200,sma_20,KCLe_20_2.0,KCBe_20_2.0,KCUe_20_2.0,price_range,body_size,upper_wick,lower_wick,cci_20,hour,day_of_week,month
2022-05-24 13:00:00,34496.0,34586.4,34305.6,34345.3,126.44,45.93,69.54,77.24,-2.03,8.86,-10.89,17.81,34361.99,34229.57,34359.64,34153.39,34411.18,34668.96,280.8,150.7,90.4,39.7,52.86,13,1,5
2022-05-24 13:15:00,34346.1,34396.2,34286.4,34391.9,125.25,48.91,56.43,69.78,-3.23,6.13,-9.36,17.51,34363.16,34231.18,34360.31,34155.19,34409.34,34663.49,109.8,45.8,4.3,59.7,-3.35,13,1,5
2022-05-24 13:30:00,34394.2,34423.8,34345.5,34414.6,121.9,50.35,44.85,56.94,-2.32,5.63,-7.95,16.93,34365.18,34233.01,34361.39,34164.98,34409.84,34654.7,78.3,20.4,9.2,48.7,35.71,13,1,5
2022-05-24 13:45:00,34413.4,34423.4,34335.9,34377.1,119.44,47.95,45.29,48.86,-4.58,2.7,-7.28,16.48,34365.65,34234.44,34368.86,34168.52,34406.72,34644.93,87.5,36.3,10.0,41.2,14.53,13,1,5
2022-05-24 14:00:00,34377.7,34424.6,34309.9,34333.8,119.1,45.26,36.58,42.24,-9.75,-1.98,-7.77,16.3,34364.4,34235.43,34377.66,34162.41,34399.78,34637.15,114.7,43.9,46.9,23.9,-24.16,14,1,5
2022-05-24 14:15:00,34331.6,34377.5,34189.6,34211.6,124.01,38.68,20.7,34.19,-23.43,-12.53,-10.9,17.11,34358.4,34235.2,34369.28,34131.3,34381.86,34632.41,187.9,120.0,45.9,22.0,-137.06,14,1,5
2022-05-24 14:30:00,34213.2,34297.8,34180.8,34258.2,123.51,42.14,15.17,24.15,-30.17,-15.42,-14.76,17.92,34354.48,34235.42,34363.57,34121.1,34370.08,34619.06,117.0,45.0,39.6,32.4,-132.92,14,1,5
2022-05-24 14:45:00,34256.8,34436.4,34229.8,34361.6,129.45,49.01,23.07,19.65,-26.86,-9.68,-17.18,17.09,34354.76,34236.68,34367.52,34104.66,34369.27,34633.89,206.6,104.8,74.8,27.0,-26.23,14,1,5
2022-05-24 15:00:00,34371.6,34402.7,34252.0,34253.9,130.97,43.25,27.23,21.82,-32.55,-12.3,-20.25,16.32,34350.8,34236.85,34365.12,34090.16,34358.28,34626.4,150.7,117.7,31.1,1.9,-72.58,15,1,5
2022-05-24 15:15:00,34257.7,34317.9,34225.4,34305.7,128.22,46.5,31.13,27.14,-32.51,-9.8,-22.7,15.85,34349.03,34237.54,34366.18,34093.08,34353.28,34613.48,92.5,48.0,12.2,32.3,-97.21,15,1,5
2022-05-25 09:15:00,34491.8,34672.6,34397.0,34643.1,145.27,61.86,47.61,35.32,-5.18,14.01,-19.2,16.75,34360.57,34241.57,34380.65,34075.57,34380.88,34686.19,275.6,151.3,29.5,94.8,193.4,9,2,5
2022-05-25 09:30:00,34645.0,34662.3,34558.8,34583.4,142.28,58.65,68.89,49.21,11.52,24.57,-13.06,17.58,34369.3,34244.97,34392.05,34104.22,34400.17,34696.11,103.5,61.6,17.3,24.6,184.31,9,2,5
2022-05-25 09:45:00,34581.6,34611.1,34537.8,34562.1,137.36,57.5,84.47,66.99,22.77,28.66,-5.89,18.14,34376.86,34248.12,34405.28,34133.87,34415.59,34697.31,73.3,19.5,29.5,24.3,135.95,9,2,5
2022-05-25 10:00:00,34561.9,34609.2,34550.6,34582.8,131.73,58.35,80.38,77.91,32.98,31.1,1.88,18.66,34384.94,34251.46,34419.57,34165.46,34431.52,34697.57,58.6,20.9,26.4,11.3,126.62,10,2,5
2022-05-25 10:15:00,34584.7,34616.4,34547.8,34594.8,127.22,58.87,81.15,82.0,41.56,31.74,9.82,19.19,34393.17,34254.88,34426.55,34193.28,34447.07,34700.85,68.6,10.1,21.6,36.9,113.02,10,2,5
2022-05-25 10:30:00,34592.4,34666.9,34589.0,34663.1,123.7,61.76,88.0,83.18,53.26,34.75,18.51,20.03,34403.76,34258.93,34435.32,34223.19,34467.64,34712.09,77.9,70.7,3.8,3.4,133.72,10,2,5
2022-05-25 10:45:00,34665.2,34699.6,34644.6,34664.7,118.79,61.83,91.84,87.0,61.95,34.75,27.2,21.02,34413.99,34262.97,34447.36,34254.76,34486.4,34718.05,55.0,0.5,34.4,20.1,130.0,10,2,5
2022-05-25 11:00:00,34666.2,34719.4,34642.9,34716.3,115.77,64.04,96.92,92.25,72.16,35.97,36.19,22.06,34425.84,34267.48,34461.7,34284.15,34508.3,34732.46,76.5,50.1,3.1,23.3,122.37,11,2,5
2022-05-25 11:15:00,34712.5,34722.6,34585.9,34606.4,117.27,56.53,90.42,93.06,70.58,27.51,43.07,22.28,34432.92,34270.86,34468.35,34288.8,34517.64,34746.49,136.7,106.1,10.1,20.5,83.27,11,2,5
2022-05-25 11:30:00,34606.2,34626.4,34542.8,34562.1,114.86,53.79,82.78,90.04,64.99,17.54,47.45,21.94,34437.99,34273.76,34471.62,34298.9,34521.88,34744.85,83.6,44.1,20.2,19.3,49.65,11,2,5
2022-05-25 11:45:00,34563.1,34573.7,34482.8,34527.1,113.15,51.65,69.87,81.02,57.09,7.71,49.38,20.93,34441.48,34276.27,34480.72,34303.32,34522.38,34741.43,90.9,36.0,10.6,44.3,23.55,11,2,5
2022-05-25 12:00:00,34526.8,34556.7,34486.4,34528.6,110.09,51.74,64.01,72.22,50.36,0.79,49.58,20.0,34444.9,34278.78,34487.55,34311.39,34522.97,34734.55,70.3,1.8,28.1,40.4,18.38,12,2,5
2022-05-25 12:15:00,34532.8,34591.8,34507.6,34525.4,108.24,51.53,60.67,64.85,44.27,-4.25,48.51,19.48,34448.06,34281.24,34493.09,34315.73,34523.2,34730.67,84.2,7.4,59.0,17.8,24.3,12,2,5
2022-05-25 12:30:00,34528.1,34570.1,34446.1,34452.6,109.37,46.74,46.13,56.94,33.18,-12.27,45.45,18.26,34448.24,34282.94,34496.86,34305.15,34516.48,34727.8,124.0,75.5,42.0,6.5,-5.69,12,2,5
2022-05-25 12:45:00,34453.9,34475.1,34417.5,34432.4,105.67,45.48,27.43,44.74,22.5,-18.36,40.86,17.1,34447.61,34284.43,34501.8,34306.3,34508.47,34710.64,57.6,21.5,21.2,14.9,-35.83,12,2,5
2022-05-25 13:00:00,34432.1,34450.6,34385.8,34450.6,102.75,46.87,13.73,29.1,15.33,-20.42,35.75,16.37,34447.73,34286.08,34513.74,34307.7,34502.96,34698.22,64.8,18.5,0.0,46.3,-52.93,13,2,5
2022-05-25 13:15:00,34453.7,34482.3,34414.3,34449.0,100.27,46.76,14.3,18.49,9.41,-21.07,30.48,15.3,34447.78,34287.71,34523.28,34308.2,34497.82,34687.44,68.0,4.7,28.6,34.7,-53.71,13,2,5
2022-05-25 13:30:00,34447.5,34452.7,34360.2,34403.1,99.71,43.52,16.61,14.88,1.0,-23.58,24.59,14.91,34446.03,34288.86,34525.36,34299.62,34488.8,34677.98,92.5,44.4,5.2,42.9,-90.99,13,2,5
2022-05-25 13:45:00,34405.3,34423.4,34344.7,34390.3,98.21,42.63,14.22,15.04,-6.62,-24.96,18.35,14.71,34443.84,34289.86,34532.18,34293.26,34479.42,34665.57,78.7,15.0,18.1,45.6,-114.78,13,2,5
2022-05-25 14:00:00,34389.5,34520.0,34352.6,34504.9,103.15,52.06,22.1,17.65,-3.37,-17.37,14.0,13.97,34446.24,34292.0,34542.14,34281.54,34481.84,34682.15,167.4,115.4,15.1,36.9,-71.94,14,2,5
2022-05-25 14:15:00,34504.5,34549.9,34463.9,34478.1,101.93,49.99,29.92,22.08,-2.92,-13.54,10.62,13.59,34447.49,34293.86,34533.89,34283.88,34481.49,34679.1,86.0,26.4,45.4,14.2,-34.04,14,2,5
2022-05-25 14:30:00,34475.1,34505.8,34427.9,34430.1,100.21,46.43,33.43,28.48,-6.37,-13.59,7.22,12.81,34446.8,34295.21,34526.23,34282.96,34476.6,34670.22,77.9,45.0,30.7,2.2,-65.69,14,2,5
2022-05-25 14:45:00,34427.1,34428.5,34326.3,34377.4,100.47,42.83,24.98,29.44,-13.2,-16.34,3.14,12.79,34444.08,34296.03,34516.99,34272.19,34467.15,34662.1,102.2,49.7,1.4,51.1,-118.24,14,2,5
2022-05-25 15:00:00,34377.5,34411.1,34338.1,34341.3,98.51,40.51,15.09,24.5,-21.28,-19.54,-1.75,12.77,34440.06,34296.48,34504.92,34264.86,34455.16,34645.46,73.0,36.2,33.6,3.2,-115.64,15,2,5
2022-05-25 15:15:00,34343.9,34370.1,34285.8,34313.9,97.49,38.79,10.62,16.9,-29.56,-22.25,-7.31,13.26,34435.1,34296.65,34490.87,34253.48,34441.71,34629.94,84.3,30.0,26.2,28.1,-132.7,15,2,5
2022-05-26 09:15:00,34670.6,34720.1,34598.2,34665.9,119.54,61.42,34.12,19.94,-7.63,-0.25,-7.37,14.06,34444.16,34300.32,34491.01,34215.38,34463.06,34710.74,121.9,4.7,49.5,67.7,127.01,9,3,5
2022-05-26 09:30:00,34663.0,34675.6,34572.8,34583.1,118.35,56.16,55.05,33.26,3.04,8.33,-5.29,14.55,34449.6,34303.14,34486.93,34230.82,34474.49,34718.16,102.8,79.9,12.6,10.3,93.83,9,3,5
2022-05-26 09:45:00,34583.6,34630.2,34547.9,34607.1,115.77,57.3,76.65,55.27,13.28,14.85,-1.58,14.76,34455.78,34306.16,34481.47,34250.98,34487.12,34723.26,82.3,23.5,23.1,35.7,91.07,9,3,5
2022-05-26 10:00:00,34611.9,34613.6,34537.6,34563.4,112.93,54.52,68.79,66.83,17.66,15.39,2.27,14.85,34460.0,34308.72,34479.32,34266.26,34494.39,34722.51,76.0,48.5,1.7,25.8,77.23,10,3,5
2022-05-26 10:15:00,34566.4,34614.9,34504.4,34507.9,112.76,51.12,63.01,69.48,16.46,11.36,5.11,14.58,34461.88,34310.71,34476.61,34268.23,34495.67,34723.12,110.5,58.5,48.5,3.5,54.25,10,3,5
2022-05-26 10:30:00,34502.6,34545.0,34460.7,34500.4,110.72,50.66,54.82,62.21,14.74,7.71,7.03,13.89,34463.39,34312.6,34475.27,34274.28,34496.12,34717.96,84.3,2.2,42.4,39.7,19.2,10,3,5
2022-05-26 10:45:00,34501.1,34502.4,34424.8,34467.7,108.36,48.61,47.48,55.11,10.62,2.86,7.75,12.9,34463.56,34314.14,34472.23,34277.92,34493.42,34708.91,77.6,33.4,1.3,42.9,-12.52,10,3,5
2022-05-26 11:00:00,34478.0,34491.6,34446.7,34480.2,103.83,49.45,45.35,49.22,8.26,0.41,7.85,11.99,34464.21,34315.79,34469.97,34288.63,34492.16,34695.68,44.9,2.2,11.4,31.3,-1.96,11,3,5
2022-05-26 11:15:00,34478.9,34526.6,34449.1,34474.6,101.95,49.07,43.37,45.4,5.87,-1.58,7.46,11.49,34464.62,34317.37,34471.07,34291.58,34490.48,34689.39,77.5,4.3,47.7,25.5,8.92,11,3,5
2022-05-26 11:30:00,34472.2,34497.2,34451.9,34479.0,97.9,49.4,44.24,44.32,4.29,-2.54,6.82,11.03,34465.18,34318.98,34473.4,34300.8,34489.39,34677.98,45.3,6.8,18.2,20.3,-0.19,11,3,5
2022-05-26 11:45:00,34481.2,34509.9,34472.5,34485.7,93.58,49.94,44.66,44.09,3.53,-2.63,6.16,10.74,34465.99,34320.64,34475.16,34311.29,34489.04,34666.79,37.4,4.5,24.2,8.7,10.55,11,3,5
2022-05-26 12:00:00,34486.9,34559.8,34468.2,34535.2,93.44,53.87,49.31,46.07,6.84,0.54,6.3,11.01,34468.7,34322.77,34479.46,34315.16,34493.44,34671.71,91.6,48.3,24.6,18.7,39.46,12,3,5
2022-05-26 12:15:00,34531.7,34596.8,34466.2,34483.9,96.09,49.53,49.69,47.89,5.27,-0.82,6.09,11.64,34469.3,34324.38,34483.5,34306.36,34492.53,34678.7,130.6,47.8,65.1,17.7,29.19,12,3,5
2022-05-26 12:30:00,34477.3,34559.6,34460.6,34544.4,96.3,54.21,47.85,48.95,8.81,2.17,6.64,12.13,34472.24,34326.56,34491.21,34310.17,34497.47,34684.76,99.0,67.1,15.2,16.7,29.96,12,3,5
2022-05-26 12:45:00,34542.9,34661.9,34532.6,34652.1,98.66,61.13,58.91,52.15,20.07,10.74,9.32,13.54,34479.3,34329.8,34498.57,34318.11,34512.2,34706.28,129.3,109.2,9.8,10.3,119.51,12,3,5
2022-05-26 13:00:00,34650.8,34836.8,34650.8,34836.2,104.89,69.58,77.0,61.25,43.34,27.22,16.13,15.96,34493.29,34334.84,34516.48,34332.02,34543.05,34754.08,186.0,185.4,0.6,0.0,225.48,13,3,5
2022-05-26 13:15:00,34835.1,34929.6,34835.1,34909.7,104.15,72.18,95.51,77.14,66.95,40.66,26.29,18.65,34509.62,34340.56,34540.45,34369.04,34577.97,34786.9,94.5,74.6,19.9,0.0,246.77,13,3,5
2022-05-26 13:30:00,34905.6,34946.1,34822.8,34877.3,105.52,69.37,94.24,88.92,82.1,44.65,37.45,21.22,34524.04,34345.9,34565.45,34393.96,34606.48,34819.0,123.3,28.3,40.5,54.5,194.43,13,3,5
2022-05-26 13:45:00,34873.2,34905.7,34738.9,34778.7,109.9,61.5,83.58,91.11,85.17,38.17,47.0,22.43,34534.03,34350.21,34587.32,34398.83,34622.88,34846.93,166.8,94.5,32.5,39.8,128.55,13,3,5
2022-05-26 14:00:00,34784.6,34842.2,34742.9,34819.8,109.14,63.37,76.82,84.88,89.88,34.31,55.57,23.55,34545.24,34354.88,34612.61,34420.01,34641.64,34863.26,99.3,35.2,22.4,41.7,109.67,14,3,5
2022-05-26 14:15:00,34812.6,35071.4,34812.6,35051.9,119.83,71.7,80.18,80.19,111.06,44.39,66.67,25.71,34565.1,34361.82,34631.92,34430.9,34680.71,34930.52,258.8,239.3,19.5,0.0,170.31,14,3,5
2022-05-26 14:30:00,35047.7,35066.6,34925.4,35035.4,121.36,70.47,88.96,81.99,125.08,46.72,78.35,27.71,34583.55,34368.52,34654.53,34461.57,34714.49,34967.4,141.2,12.3,18.9,110.0,149.1,14,3,5
