,datetime,open,high,low,close,volume
4206,1737954360,48007.6,48011.6,47987.1,47987.1,0
4207,1737954420,47989.55,47996.2,47971.85,47984.45,0
4208,1737954480,47985.4,47992.6,47952.35,47955.65,0
4209,1737954540,47956.2,47986.3,47950.2,47981.25,0
4210,1737954600,47981.1,47998.95,47974.35,47995.45,0
4211,1737954660,47995.15,48002.0,47976.8,47985.65,0
4212,1737954720,47990.8,48046.5,47990.8,48046.5,0
4213,1737954780,48047.1,48072.95,48029.85,48072.95,0
4214,1737954840,48071.8,48084.35,48058.1,48076.25,0
4215,1737954900,48077.8,48123.9,48076.1,48122.65,0
4216,1737954960,48125.95,48141.4,48078.85,48084.25,0
4217,1737955020,48082.15,48083.3,48053.45,48056.3,0
4218,1737955080,48055.9,48109.8,48044.25,48101.3,0
4219,1737955140,48097.05,48104.35,48082.5,48095.75,0
4220,1737955200,48098.0,48135.35,48093.9,48130.85,0
4221,1737955260,48132.6,48132.6,48102.15,48103.0,0
4222,1737955320,48103.5,48115.0,48080.55,48080.75,0
4223,1737955380,48082.85,48121.8,48082.85,48102.5,0
4224,1737955440,48095.55,48100.3,48066.15,48066.85,0
4225,1737955500,48067.1,48116.3,48059.95,48115.85,0
4226,1737955560,48116.65,48128.9,48076.8,48098.85,0
4227,1737955620,48098.6,48146.2,48098.6,48125.45,0
4228,1737955680,48128.6,48131.8,48098.65,48104.5,0
4229,1737955740,48106.5,48110.1,48079.05,48079.15,0
4230,1737955800,48079.45,48103.75,48064.65,48103.75,0
4231,1737955860,48104.5,48104.5,48067.75,48069.25,0
4232,1737955920,48069.9,48074.75,48058.8,48063.25,0
4233,1737955980,48062.7,48064.0,48032.1,48041.2,0
4234,1737956040,48043.85,48061.3,48033.65,48034.1,0
4235,1737956100,48034.6,48072.55,48034.0,48070.9,0
4236,1737956160,48072.4,48080.9,48059.75,48059.75,0
4237,1737956220,48060.25,48088.45,48055.45,48078.95,0
4238,1737956280,48079.8,48095.45,48079.1,48093.55,0
4239,1737956340,48094.35,48103.9,48089.4,48091.55,0
4240,1737956400,48093.55,48094.35,48063.9,48068.55,0
4241,1737956460,48068.2,48075.55,48057.3,48061.0,0
4242,1737956520,48060.1,48060.1,48022.15,48039.55,0
4243,1737956580,48037.95,48075.35,48037.95,48067.6,0
4244,1737956640,48070.8,48089.55,48061.55,48076.25,0
4245,1737956700,48076.0,48095.8,48073.05,48095.1,0
4246,1737956760,48093.9,48130.5,48086.9,48128.85,0
4247,1737956820,48128.6,48141.5,48122.3,48136.7,0
4248,1737956880,48136.85,48148.8,48129.8,48145.4,0
4249,1737956940,48145.9,48166.0,48142.95,48148.65,0
4250,1737957000,48148.85,48199.95,48147.0,48197.3,0
4251,1737957060,48196.55,48209.7,48167.25,48170.9,0
4252,1737957120,48173.5,48179.55,48142.5,48146.8,0
4253,1737957180,48146.55,48150.15,48116.35,48150.15,0
4254,1737957240,48148.95,48165.75,48138.1,48144.5,0
4255,1737957300,48140.25,48149.9,48123.9,48127.55,0
4256,1737957360,48127.4,48133.2,48115.0,48127.8,0
4257,1737957420,48127.65,48157.0,48124.65,48152.9,0
4258,1737957480,48154.2,48163.5,48146.1,48156.65,0
4259,1737957540,48152.95,48162.1,48152.25,48160.55,0
4260,1737957600,48162.2,48177.1,48161.1,48168.25,0
4261,1737957660,48169.2,48172.9,48154.0,48158.6,0
4262,1737957720,48158.75,48174.45,48158.75,48161.0,0
4263,1737957780,48152.5,48157.25,48122.55,48135.65,0
4264,1737957840,48136.2,48152.05,48128.7,48148.2,0
4265,1737957900,48147.35,48162.6,48147.35,48161.45,0
4266,1737957960,48161.3,48165.8,48141.3,48147.05,0
4267,1737958020,48145.3,48146.3,48122.55,48139.95,0
4268,1737958080,48140.1,48142.15,48119.8,48124.6,0
4269,1737958140,48124.4,48126.05,48100.3,48105.25,0
4270,1737958200,48104.75,48106.8,48083.0,48083.75,0
4271,1737958260,48090.8,48115.7,48087.1,48115.35,0
4272,1737958320,48117.65,48127.1,48094.65,48100.6,0
4273,1737958380,48100.05,48125.4,48100.05,48110.3,0
4274,1737958440,48113.05,48126.2,48106.8,48125.1,0
4275,1737958500,48124.05,48152.65,48124.05,48136.85,0
4276,1737958560,48138.8,48143.7,48127.9,48142.15,0
4277,1737958620,48149.05,48179.45,48149.05,48179.45,0
4278,1737958680,48181.05,48190.25,48165.9,48188.35,0
4279,1737958740,48188.6,48193.95,48156.95,48166.95,0
4280,1737958800,48170.25,48184.65,48156.0,48178.95,0
4281,1737958860,48179.35,48181.65,48165.85,48167.6,0
4282,1737958920,48163.75,48169.65,48154.55,48161.1,0
4283,1737958980,48160.05,48171.15,48150.1,48150.1,0
4284,1737959040,48146.75,48148.95,48133.85,48135.25,0
4285,1737959100,48136.85,48148.25,48132.75,48147.35,0
4286,1737959160,48146.4,48156.75,48128.4,48133.75,0
4287,1737959220,48132.15,48157.75,48100.6,48110.15,0
4288,1737959280,48109.2,48118.5,48098.95,48117.25,0
4289,1737959340,48119.1,48137.8,48119.1,48137.8,0
4290,1737959400,48138.05,48163.7,48136.25,48155.6,0
4291,1737959460,48154.2,48160.95,48150.85,48160.15,0
4292,1737959520,48159.5,48177.3,48157.9,48173.25,0
4293,1737959580,48174.5,48270.3,48173.4,48263.75,0
4294,1737959640,48265.4,48273.05,48255.05,48263.05,0
4295,1737959700,48264.0,48268.0,48219.85,48226.6,0
4296,1737959760,48225.65,48251.45,48202.55,48217.25,0
4297,1737959820,48214.85,48216.45,48167.65,48172.6,0
4298,1737959880,48172.1,48181.4,48156.05,48180.7,0
4299,1737959940,48181.15,48205.6,48179.15,48190.55,0
4300,1737960000,48193.7,48209.9,48192.55,48209.9,0
4301,1737960060,48210.0,48215.0,48193.65,48212.25,0
4302,1737960120,48209.85,48230.1,48209.85,48215.0,0
4303,1737960180,48215.2,48220.1,48134.8,48147.15,0
4304,1737960240,48148.25,48181.85,48143.55,48161.2,0
4305,1737960300,48160.05,48192.8,48159.0,48183.15,0
4306,1737960360,48183.85,48190.55,48163.65,48179.75,0
4307,1737960420,48176.35,48190.95,48170.75,48186.75,0
4308,1737960480,48187.85,48203.35,48182.0,48194.25,0
4309,1737960540,48195.2,48213.95,48191.15,48196.55,0
4310,1737960600,48196.5,48215.15,48194.95,48203.05,0
4311,1737960660,48204.1,48222.55,48197.95,48216.45,0
4312,1737960720,48218.45,48236.1,48218.15,48234.55,0
4313,1737960780,48232.15,48256.4,48230.85,48251.1,0
4314,1737960840,48257.1,48319.2,48251.25,48311.05,0
4315,1737960900,48313.6,48313.6,48262.7,48265.95,0
4316,1737960960,48262.35,48271.2,48248.95,48252.65,0
4317,1737961020,48252.2,48279.4,48246.7,48270.45,0
4318,1737961080,48275.7,48298.95,48274.25,48297.65,0
4319,1737961140,48292.1,48299.6,48274.15,48295.3,0
4320,1737961200,48293.7,48305.0,48275.3,48275.3,0
4321,1737961260,48275.4,48280.8,48257.2,48265.6,0
4322,1737961320,48264.85,48271.5,48244.95,48249.1,0
4323,1737961380,48248.1,48249.65,48233.95,48242.3,0
4324,1737961440,48241.25,48250.1,48231.45,48237.5,0
4325,1737961500,48237.65,48251.25,48229.25,48231.7,0
4326,1737961560,48233.8,48248.35,48229.2,48244.5,0
4327,1737961620,48244.3,48246.55,48221.7,48221.7,0
4328,1737961680,48221.85,48229.5,48202.85,48210.35,0
4329,1737961740,48209.5,48231.85,48209.25,48219.95,0
4330,1737961800,48221.25,48235.3,48213.95,48233.9,0
4331,1737961860,48232.0,48238.6,48220.25,48233.8,0
4332,1737961920,48232.65,48245.55,48190.75,48196.45,0
4333,1737961980,48190.85,48190.85,48146.95,48156.6,0
4334,1737962040,48157.75,48176.9,48156.8,48164.15,0
4335,1737962100,48163.0,48173.25,48155.15,48165.45,0
4336,1737962160,48161.3,48170.1,48124.25,48149.0,0
4337,1737962220,48149.45,48164.8,48142.15,48163.65,0
4338,1737962280,48160.65,48187.55,48159.15,48168.95,0
4339,1737962340,48169.15,48194.2,48168.1,48174.05,0
4340,1737962400,48178.25,48191.95,48170.65,48181.15,0
4341,1737962460,48180.75,48180.75,48166.1,48177.1,0
4342,1737962520,48177.2,48204.5,48177.2,48204.5,0
4343,1737962580,48203.8,48220.85,48202.95,48214.2,0
4344,1737962640,48215.6,48215.6,48160.9,48160.9,0
4345,1737962700,48159.6,48160.05,48137.7,48146.55,0
4346,1737962760,48152.05,48182.05,48149.55,48181.05,0
4347,1737962820,48181.4,48198.85,48156.45,48169.55,0
4348,1737962880,48167.8,48183.9,48163.65,48179.35,0
4349,1737962940,48182.15,48182.15,48164.45,48166.75,0
4350,1737963000,48168.9,48181.0,48158.95,48176.3,0
4351,1737963060,48178.5,48198.5,48171.0,48195.15,0
4352,1737963120,48195.15,48199.65,48167.2,48175.65,0
4353,1737963180,48173.0,48187.65,48171.7,48178.5,0
