datetime_readable,open,high,low,close,datetime_epoch,dist_sma_5,dist_sma_10,dist_sma_20,dist_sma_50,dist_sma_100,dist_sma_200,dist_ema_5,dist_ema_10,dist_ema_20,dist_ema_50,dist_ema_100,dist_ema_200,macd_pct,macd_signal_pct,macd_hist_pct,rsi_14,rsi_21,adx,di_plus,di_minus,atr_pct,atr,bb_width_pct,bb_position,trend_slope,trend_strength,trend_direction,price_change_pct,price_change_abs,hl_range_pct,body_size_pct,upper_shadow_pct,lower_shadow_pct,volatility_10,volatility_20
2025-11-21 10:55:00,26069.1,26094.15,26065.3,26093.95,1763702700,0.06,0.07,-0.03,-0.26,-0.19,0.13,0.05,0.04,-0.03,-0.15,-0.11,0.07,-0.1,-0.11,0.01,42.34,41.46,48.7,13.21,28.35,0.08,20.05,0.5,0.44,-4.94,0.77,-1,0.09,0.09,0.11,0.1,0.0,0.01,0.03,0.13
2025-11-21 11:00:00,26093.2,26095.35,26084.85,26085.7,1763703000,0.02,0.04,-0.05,-0.29,-0.22,0.1,0.01,0.01,-0.06,-0.17,-0.14,0.04,-0.09,-0.1,0.01,39.81,39.81,47.72,13.14,27.26,0.07,19.36,0.45,0.4,-4.25,0.68,-1,-0.03,0.03,0.04,0.03,0.01,0.0,0.03,0.12
2025-11-21 11:05:00,26084.95,26085.85,26064.8,26083.35,1763703300,0.01,0.03,-0.04,-0.29,-0.23,0.09,0.0,-0.0,-0.06,-0.17,-0.14,0.03,-0.09,-0.1,0.01,39.1,39.34,47.57,12.12,32.5,0.07,19.48,0.4,0.4,-3.5,0.59,-1,-0.01,0.01,0.08,0.01,0.0,0.07,0.03,0.1
2025-11-21 11:10:00,26083.45,26110.55,26083.4,26106.7,1763703600,0.07,0.1,0.06,-0.19,-0.14,0.17,0.06,0.07,0.03,-0.08,-0.05,0.11,-0.07,-0.09,0.02,48.93,45.96,45.57,19.75,29.35,0.08,20.04,0.35,0.66,-2.41,0.36,-1,0.09,0.09,0.1,0.09,0.01,0.0,0.05,0.09
2025-11-21 11:15:00,26107.2,26108.15,26098.65,26099.55,1763703900,0.02,0.06,0.04,-0.21,-0.17,0.14,0.02,0.04,-0.0,-0.1,-0.08,0.09,-0.06,-0.09,0.02,46.46,44.4,43.71,19.06,28.32,0.07,19.28,0.3,0.63,-1.41,0.18,-1,-0.03,0.03,0.04,0.03,0.0,0.0,0.05,0.08
2025-11-21 11:20:00,26100.45,26101.2,26087.15,26090.2,1763704200,-0.01,0.02,0.01,-0.24,-0.21,0.11,-0.01,0.0,-0.03,-0.13,-0.11,0.05,-0.06,-0.08,0.02,43.37,42.43,42.49,18.05,31.16,0.07,18.91,0.26,0.54,-0.73,0.06,-1,-0.04,0.04,0.05,0.04,0.0,0.01,0.05,0.07
2025-11-21 11:25:00,26090.15,26105.2,26081.2,26103.0,1763704500,0.02,0.06,0.06,-0.18,-0.16,0.15,0.03,0.04,0.01,-0.08,-0.06,0.1,-0.05,-0.08,0.02,48.43,45.89,41.6,16.44,30.59,0.07,19.27,0.23,0.77,0.04,0.0,1,0.05,0.05,0.09,0.05,0.01,0.03,0.05,0.06
2025-11-21 11:30:00,26103.2,26104.2,26079.95,26085.7,1763704800,-0.04,-0.01,0.0,-0.24,-0.22,0.08,-0.03,-0.02,-0.05,-0.14,-0.13,0.03,-0.05,-0.07,0.02,42.86,42.28,40.83,14.99,28.35,0.08,19.63,0.22,0.51,0.39,0.02,1,-0.07,0.07,0.09,0.07,0.0,0.02,0.05,0.06
2025-11-21 11:35:00,26085.45,26097.65,26085.1,26090.9,1763705100,-0.01,0.0,0.03,-0.21,-0.2,0.1,-0.0,-0.0,-0.02,-0.12,-0.1,0.05,-0.05,-0.07,0.02,44.91,43.68,40.12,14.29,27.02,0.07,19.12,0.19,0.65,1.01,0.23,1,0.02,0.02,0.05,0.02,0.03,0.0,0.04,0.05
2025-11-21 11:40:00,26090.45,26092.1,26070.95,26086.35,1763705400,-0.02,-0.02,0.01,-0.22,-0.22,0.08,-0.01,-0.01,-0.04,-0.13,-0.12,0.03,-0.04,-0.06,0.02,43.44,42.73,40.05,13.17,30.15,0.07,19.27,0.18,0.57,1.22,0.35,1,-0.02,0.02,0.08,0.02,0.01,0.06,0.03,0.05
