,datetime_readable,open,high,low,close,datetime_epoch,sma_5,sma_10,sma_20,sma_50,sma_100,sma_200,ema_5,ema_10,ema_20,ema_50,ema_100,ema_200,macd,macd_signal,macd_histogram,rsi_14,rsi_21,stoch_k,stoch_d,williams_r,cci,adx,di_plus,di_minus,momentum_10,roc_10,trix,atr,bb_upper,bb_middle,bb_lower,bb_width,bb_position,trend_slope,trend_strength,trend_direction,price_change,price_change_abs,hl_range,body_size,upper_shadow,lower_shadow,sma_5_20_cross,sma_10_50_cross,price_vs_sma_20,price_vs_ema_20,volatility_10,volatility_20
36,2025-11-18 05:30:00,26021.8,26029.85,25876.5,25910.05,1763424000,25917.7,25745.75,25808.76,25373.63,25173.4,24470.23,25890.83,25826.89,25725.4,25454.91,25154.86,24571.67,144.8,146.84,-2.04,60.18,59.58,80.33,77.42,-24.1,64.7,18.87,28.14,20.25,146.7,0.57,0.09,195.91,26125.34,25808.76,25492.18,2.45,66.0,-3.12,0.01,-1,-0.4,0.4,0.59,0.43,0.03,0.13,1,1,0.39,0.72,0.75,0.63
37,2025-11-19 05:30:00,25918.1,26074.65,25856.2,26052.65,1763510400,25953.07,25791.25,25819.23,25399.86,25181.48,24485.71,25944.77,25867.94,25756.57,25478.35,25172.64,24586.41,153.66,148.2,5.46,64.21,62.25,87.39,82.24,-2.91,86.35,18.89,27.54,18.65,455.0,1.78,0.09,197.52,26153.07,25819.23,25485.4,2.59,84.96,0.91,0.0,1,0.55,0.55,0.84,0.52,0.08,0.24,1,1,0.9,1.15,0.8,0.66
38,2025-11-20 05:30:00,26132.1,26246.65,26063.2,26192.15,1763596800,26015.67,25859.49,25835.41,25428.24,25187.92,24500.85,26027.23,25926.88,25798.05,25506.34,25192.83,24602.39,169.98,152.56,17.42,67.66,64.65,89.04,85.59,-5.87,151.69,19.65,31.83,17.34,682.45,2.68,0.09,197.27,26206.52,25835.41,25464.3,2.87,98.06,7.02,0.05,1,0.54,0.54,0.7,0.23,0.21,0.26,1,1,1.38,1.53,0.84,0.74
39,2025-11-21 05:30:00,26109.55,26179.2,26052.2,26068.15,1763683200,26047.29,25917.08,25844.25,25452.23,25192.22,24514.95,26040.87,25952.57,25823.78,25528.37,25210.16,24616.97,170.93,156.23,14.7,61.95,61.03,90.66,89.03,-19.23,112.99,20.27,30.18,16.85,575.85,2.26,0.09,193.18,26228.46,25844.25,25460.04,2.97,79.14,11.23,0.11,1,-0.47,0.47,0.49,0.16,0.27,0.06,1,1,0.87,0.95,0.7,0.76
40,2025-11-24 05:30:00,26122.8,26142.8,25912.15,25959.5,1763942400,26036.5,25955.59,25852.47,25471.96,25196.64,24527.2,26013.75,25953.83,25836.7,25545.28,25225.0,24630.33,161.07,157.2,3.87,57.38,58.04,81.32,87.01,-30.94,65.43,19.88,27.64,20.54,385.15,1.51,0.09,195.85,26239.15,25852.47,25465.79,2.99,63.84,12.1,0.13,1,-0.42,0.42,0.89,0.63,0.08,0.18,1,1,0.41,0.48,0.52,0.77
41,2025-11-25 05:30:00,25998.5,26032.6,25857.5,25884.8,1764028800,26031.45,25974.58,25848.41,25489.55,25200.07,24539.22,25970.76,25941.28,25841.28,25558.59,25238.07,24642.81,145.54,154.87,-9.33,54.4,56.06,70.28,80.76,-38.98,31.58,19.16,25.87,21.22,189.85,0.74,0.09,194.37,26231.92,25848.41,25464.89,2.97,54.74,14.35,0.19,1,-0.29,0.29,0.68,0.44,0.13,0.11,1,1,0.14,0.17,0.4,0.76
42,2025-11-26 05:30:00,25842.95,26215.15,25842.95,26205.3,1764115200,26061.98,26007.52,25861.86,25511.37,25207.59,24553.44,26048.94,25989.28,25875.95,25583.96,25257.22,24658.36,157.29,155.35,1.94,63.21,61.92,75.21,75.6,-4.45,94.46,19.35,28.84,18.5,329.5,1.27,0.09,207.07,26274.53,25861.86,25449.19,3.19,91.61,20.84,0.34,1,1.24,1.24,1.42,1.38,0.04,0.0,1,1,1.33,1.27,0.47,0.82
43,2025-11-27 05:30:00,26261.25,26310.45,26141.9,26215.55,1764201600,26066.66,26041.16,25869.94,25534.3,25215.69,24565.82,26104.48,26030.42,25908.29,25608.72,25276.2,24673.85,165.51,157.38,8.13,63.45,62.09,81.85,75.78,-11.02,139.9,19.92,30.47,17.41,336.4,1.3,0.09,204.32,26303.16,25869.94,25436.73,3.35,89.89,28.92,0.59,1,0.04,0.04,0.64,0.17,0.19,0.28,1,1,1.34,1.19,0.49,0.86
44,2025-11-28 05:30:00,26237.45,26280.75,26172.4,26202.95,1764288000,26093.62,26070.46,25886.2,25553.58,25223.11,24578.35,26137.3,26061.79,25936.36,25632.03,25294.55,24689.07,169.07,159.72,9.35,62.9,61.73,90.68,82.58,-12.48,122.6,20.45,29.28,16.73,292.9,1.13,0.09,197.47,26343.13,25886.2,25429.27,3.53,84.66,33.8,0.73,1,-0.05,0.05,0.41,0.13,0.17,0.12,1,1,1.22,1.03,0.49,0.91
45,2025-12-01 05:30:00,26325.8,26325.8,26124.2,26175.75,1764547200,26136.87,26086.68,25908.88,25570.49,25230.26,24591.21,26150.12,26082.51,25959.16,25653.35,25312.0,24703.86,167.76,161.33,6.43,61.66,60.94,83.62,85.38,-25.65,106.56,20.58,27.15,17.25,162.3,0.62,0.09,197.76,26375.9,25908.88,25441.86,3.61,78.57,35.35,0.76,1,-0.1,0.1,0.77,0.57,0.0,0.2,1,1,1.03,0.83,0.5,0.92
46,2025-12-02 05:30:00,26087.95,26154.6,25997.85,26032.2,1764633600,26166.35,26098.9,25922.32,25582.66,25235.36,24603.57,26110.81,26073.36,25966.11,25668.21,25326.26,24717.08,153.37,159.74,-6.37,55.43,56.91,70.56,81.62,-50.19,50.43,19.83,25.39,20.73,122.15,0.47,0.09,196.34,26387.29,25922.32,25457.36,3.59,61.82,34.81,0.75,1,-0.55,0.55,0.6,0.21,0.26,0.13,1,1,0.42,0.25,0.45,0.92
47,2025-12-03 05:30:00,26004.9,26066.45,25891.0,25986.0,1764720000,26122.49,26092.24,25941.74,25595.84,25240.45,24616.6,26069.21,26057.48,25968.01,25680.67,25339.32,24729.7,136.66,155.12,-18.46,53.56,55.66,55.36,69.85,-58.09,17.21,18.48,23.76,23.31,-66.65,-0.26,0.09,194.85,26382.66,25941.74,25500.82,3.4,55.02,30.6,0.64,1,-0.18,0.18,0.68,0.07,0.24,0.37,1,1,0.17,0.07,0.47,0.87
48,2025-12-04 05:30:00,25981.85,26098.25,25938.95,26033.75,1764806400,26086.13,26076.4,25967.94,25612.46,25247.24,24631.41,26057.39,26053.16,25974.27,25694.51,25353.08,24742.68,125.82,149.26,-23.44,55.24,56.69,43.75,56.56,-60.48,27.77,17.41,23.53,21.93,-158.4,-0.6,0.08,192.31,26362.95,25967.94,25572.94,3.04,58.33,25.09,0.54,1,0.18,0.18,0.61,0.2,0.25,0.16,1,1,0.25,0.23,0.45,0.78
49,2025-12-05 05:30:00,25999.8,26202.6,25985.35,26186.45,1764892800,26082.83,26088.22,26002.65,25632.8,25257.61,24647.11,26100.41,26077.4,25994.48,25713.81,25369.58,24757.05,128.08,145.02,-16.95,60.21,59.82,50.86,49.99,-28.86,68.06,17.0,25.49,20.18,118.3,0.45,0.08,194.09,26342.52,26002.65,25662.78,2.61,77.04,20.7,0.49,1,0.59,0.59,0.83,0.71,0.06,0.06,1,1,0.71,0.74,0.47,0.67
