entry_time,exit_time,position,entry_price,target_price,stop_loss_price,lot_size,pnl_points,pnl_currency,bars_held,exit_reason,confidence,capital
2025-04-07 12:15:00,2025-04-07 12:25:00,SELL,23610.8,23603.11,23614.65,65,7.69,450.0,1,TARGET,75.9,81950.0
2025-04-07 12:50:00,2025-04-07 13:00:00,SELL,23639.0,23631.31,23642.85,65,7.69,450.0,1,TARGET,90.0,82400.0
2025-04-07 13:00:00,2025-04-07 13:10:00,SELL,23592.95,23585.26,23596.8,65,-3.85,-300.0,1,STOP_LOSS,90.0,82100.0
2025-04-08 09:30:00,2025-04-08 09:40:00,SELL,24355.65,24347.96,24359.5,65,7.69,450.0,1,TARGET,90.0,82550.0
2025-04-08 10:05:00,2025-04-08 10:15:00,BUY,24182.65,24190.34,24178.8,65,-3.85,-300.0,1,STOP_LOSS,90.0,82250.0
2025-04-08 10:55:00,2025-04-08 11:05:00,SELL,24150.6,24142.91,24154.45,65,7.69,450.0,1,TARGET,90.0,82700.0
2025-04-08 12:40:00,2025-04-08 12:50:00,BUY,24361.45,24369.14,24357.6,65,-3.85,-300.0,1,STOP_LOSS,90.0,82400.0
2025-04-09 10:40:00,2025-04-09 10:50:00,SELL,24059.75,24052.06,24063.6,65,-3.85,-300.0,1,STOP_LOSS,90.0,82100.0
2025-04-09 10:55:00,2025-04-09 11:05:00,SELL,24075.1,24067.41,24078.95,65,7.69,450.0,1,TARGET,90.0,82550.0
2025-04-09 11:05:00,2025-04-09 11:15:00,SELL,24022.6,24014.91,24026.45,65,7.69,450.0,1,TARGET,90.0,83000.0
2025-04-11 09:20:00,2025-04-11 09:30:00,SELL,24542.8,24535.11,24546.65,65,7.69,450.0,1,TARGET,90.0,83450.0
2025-04-11 09:40:00,2025-04-11 09:50:00,SELL,24544.7,24537.01,24548.55,65,-3.85,-300.0,1,STOP_LOSS,90.0,83150.0
2025-04-11 10:00:00,2025-04-11 10:10:00,BUY,24530.2,24537.89,24526.35,65,-3.85,-300.0,1,STOP_LOSS,90.0,82850.0
2025-04-15 09:20:00,2025-04-15 09:30:00,SELL,25168.25,25160.56,25172.1,65,7.69,450.0,1,TARGET,90.0,83300.0
2025-04-15 09:30:00,2025-04-15 09:40:00,SELL,25152.15,25144.46,25156.0,65,-3.85,-300.0,1,STOP_LOSS,90.0,83000.0
2025-04-15 11:05:00,2025-04-15 11:15:00,SELL,25226.1,25218.41,25229.95,65,-3.85,-300.0,1,STOP_LOSS,90.0,82700.0
2025-04-16 09:45:00,2025-04-16 09:55:00,SELL,25406.95,25399.26,25410.8,65,-3.85,-300.0,1,STOP_LOSS,90.0,82400.0
2025-04-16 09:55:00,2025-04-16 10:05:00,SELL,25425.8,25418.11,25429.65,65,-3.85,-300.0,1,STOP_LOSS,90.0,82100.0
2025-04-17 09:30:00,2025-04-17 09:40:00,BUY,25550.35,25558.04,25546.5,65,7.69,450.0,1,TARGET,90.0,82550.0
2025-04-17 10:20:00,2025-04-17 10:30:00,BUY,25614.35,25622.04,25610.5,65,-3.85,-300.0,1,STOP_LOSS,90.0,82250.0
2025-04-17 12:20:00,2025-04-17 12:30:00,SELL,25813.9,25806.21,25817.75,65,-3.85,-300.0,1,STOP_LOSS,90.0,81950.0
2025-04-21 09:20:00,2025-04-21 09:30:00,SELL,26415.6,26407.91,26419.45,65,7.69,450.0,1,TARGET,90.0,82400.0
2025-04-21 09:50:00,2025-04-21 10:00:00,BUY,26404.75,26412.44,26400.9,65,7.69,450.0,1,TARGET,80.8,82850.0
2025-04-21 10:00:00,2025-04-21 10:10:00,BUY,26418.8,26426.49,26414.95,65,-3.85,-300.0,1,STOP_LOSS,79.4,82550.0
2025-04-21 11:35:00,2025-04-21 11:45:00,BUY,26459.85,26467.54,26456.0,65,-3.85,-300.0,1,STOP_LOSS,90.0,82250.0
2025-04-22 10:25:00,2025-04-22 10:35:00,SELL,26688.9,26681.21,26692.75,65,-3.85,-300.0,1,STOP_LOSS,90.0,81950.0
2025-04-22 10:50:00,2025-04-22 11:00:00,BUY,26693.0,26700.69,26689.15,65,7.69,450.0,1,TARGET,87.8,82400.0
2025-04-22 11:00:00,2025-04-22 11:10:00,BUY,26707.1,26714.79,26703.25,65,-3.85,-300.0,1,STOP_LOSS,78.6,82100.0
2025-04-23 10:50:00,2025-04-23 11:00:00,SELL,26374.25,26366.56,26378.1,65,-3.85,-300.0,1,STOP_LOSS,84.8,81800.0
2025-04-23 11:00:00,2025-04-23 11:10:00,SELL,26391.35,26383.66,26395.2,65,7.69,450.0,1,TARGET,90.0,82250.0
2025-04-23 11:10:00,2025-04-23 11:20:00,SELL,26381.6,26373.91,26385.45,65,-3.85,-300.0,1,STOP_LOSS,90.0,81950.0
2025-04-25 09:45:00,2025-04-25 09:55:00,SELL,26138.15,26130.46,26142.0,65,7.69,450.0,1,TARGET,90.0,82400.0
2025-04-25 09:55:00,2025-04-25 10:05:00,SELL,26109.3,26101.61,26113.15,65,7.69,450.0,1,TARGET,83.1,82850.0
2025-04-25 10:25:00,2025-04-25 10:35:00,SELL,25982.15,25974.46,25986.0,65,7.69,450.0,1,TARGET,86.8,83300.0
2025-04-25 10:40:00,2025-04-25 10:50:00,SELL,25952.6,25944.91,25956.45,65,7.69,450.0,1,TARGET,88.9,83750.0
2025-04-25 10:50:00,2025-04-25 11:00:00,SELL,25926.9,25919.21,25930.75,65,7.69,450.0,1,TARGET,84.2,84200.0
2025-04-25 11:00:00,2025-04-25 11:10:00,SELL,25894.05,25886.36,25897.9,65,-3.85,-300.0,1,STOP_LOSS,78.8,83900.0
2025-04-25 11:10:00,2025-04-25 11:20:00,SELL,25922.15,25914.46,25926.0,65,7.69,450.0,1,TARGET,90.0,84350.0
2025-04-25 11:30:00,2025-04-25 11:40:00,SELL,25872.6,25864.91,25876.45,65,-3.85,-300.0,1,STOP_LOSS,88.9,84050.0
2025-04-28 10:05:00,2025-04-28 10:15:00,BUY,26250.8,26258.49,26246.95,65,7.69,450.0,1,TARGET,90.0,84500.0
2025-04-28 10:15:00,2025-04-28 10:25:00,BUY,26277.55,26285.24,26273.7,65,-3.85,-300.0,1,STOP_LOSS,90.0,84200.0
2025-04-28 10:30:00,2025-04-28 10:40:00,BUY,26244.35,26252.04,26240.5,65,7.69,450.0,1,TARGET,90.0,84650.0
2025-04-28 10:45:00,2025-04-28 10:55:00,BUY,26252.85,26260.54,26249.0,65,7.69,450.0,1,TARGET,80.7,85100.0
2025-04-28 12:45:00,2025-04-28 12:55:00,BUY,26311.6,26319.29,26307.75,65,7.69,450.0,1,TARGET,90.0,85550.0
2025-04-28 12:55:00,2025-04-28 13:05:00,BUY,26334.85,26342.54,26331.0,65,-3.85,-300.0,1,STOP_LOSS,90.0,85250.0
2025-04-30 09:20:00,2025-04-30 09:30:00,BUY,26091.65,26099.34,26087.8,65,7.69,450.0,1,TARGET,90.0,85700.0
2025-04-30 09:40:00,2025-04-30 09:50:00,SELL,26174.15,26166.46,26178.0,65,-3.85,-300.0,1,STOP_LOSS,90.0,85400.0
2025-05-02 12:05:00,2025-05-02 12:15:00,SELL,26157.65,26149.96,26161.5,65,7.69,450.0,1,TARGET,90.0,85850.0
2025-05-02 12:15:00,2025-05-02 12:25:00,SELL,26130.3,26122.61,26134.15,65,7.69,450.0,1,TARGET,90.0,86300.0
2025-05-02 12:25:00,2025-05-02 12:35:00,SELL,26084.3,26076.61,26088.15,65,-3.85,-300.0,1,STOP_LOSS,90.0,86000.0
2025-05-02 12:35:00,2025-05-02 12:45:00,SELL,26099.85,26092.16,26103.7,65,-3.85,-300.0,1,STOP_LOSS,90.0,85700.0
2025-05-05 10:35:00,2025-05-05 10:45:00,BUY,26258.95,26266.64,26255.1,65,7.69,450.0,1,TARGET,90.0,86150.0
2025-05-06 09:40:00,2025-05-06 09:50:00,SELL,26050.15,26042.46,26054.0,65,7.69,450.0,1,TARGET,82.0,86600.0
2025-05-06 09:50:00,2025-05-06 10:00:00,SELL,26035.15,26027.46,26039.0,65,7.69,450.0,1,TARGET,80.5,87050.0
2025-05-06 10:30:00,2025-05-06 10:40:00,SELL,25974.05,25966.36,25977.9,65,7.69,450.0,1,TARGET,80.0,87500.0
2025-05-06 10:40:00,2025-05-06 10:50:00,SELL,25961.65,25953.96,25965.5,65,-3.85,-300.0,1,STOP_LOSS,73.4,87200.0
2025-05-06 10:50:00,2025-05-06 11:00:00,SELL,25955.1,25947.41,25958.95,65,-3.85,-300.0,1,STOP_LOSS,70.1,86900.0
2025-05-07 10:50:00,2025-05-07 11:00:00,SELL,25965.35,25957.66,25969.2,65,-3.85,-300.0,1,STOP_LOSS,90.0,86600.0
2025-05-07 11:05:00,2025-05-07 11:15:00,SELL,26002.7,25995.01,26006.55,65,-3.85,-300.0,1,STOP_LOSS,90.0,86300.0
2025-05-08 09:35:00,2025-05-08 09:45:00,BUY,26160.85,26168.54,26157.0,65,7.69,450.0,1,TARGET,84.6,86750.0
2025-05-08 11:05:00,2025-05-08 11:15:00,BUY,26207.4,26215.09,26203.55,65,-3.85,-300.0,1,STOP_LOSS,90.0,86450.0
2025-05-08 13:55:00,2025-05-08 14:05:00,SELL,26082.5,26074.81,26086.35,65,-3.85,-300.0,1,STOP_LOSS,81.2,86150.0
2025-05-09 10:05:00,2025-05-09 10:15:00,BUY,25568.55,25576.24,25564.7,65,7.69,450.0,1,TARGET,90.0,86600.0
2025-05-09 10:15:00,2025-05-09 10:25:00,SELL,25622.5,25614.81,25626.35,65,7.69,450.0,1,TARGET,90.0,87050.0
2025-05-09 10:25:00,2025-05-09 10:35:00,SELL,25621.45,25613.76,25625.3,65,7.69,450.0,1,TARGET,90.0,87500.0
2025-05-09 10:35:00,2025-05-09 10:45:00,SELL,25568.35,25560.66,25572.2,65,7.69,450.0,1,TARGET,86.3,87950.0
2025-05-09 10:50:00,2025-05-09 11:00:00,SELL,25536.35,25528.66,25540.2,65,-3.85,-300.0,1,STOP_LOSS,82.2,87650.0
2025-05-09 13:45:00,2025-05-09 13:55:00,SELL,25483.6,25475.91,25487.45,65,-3.85,-300.0,1,STOP_LOSS,90.0,87350.0
2025-05-12 09:20:00,2025-05-12 09:30:00,SELL,26230.55,26222.86,26234.4,65,-3.85,-300.0,1,STOP_LOSS,90.0,87050.0
2025-05-12 09:35:00,2025-05-12 09:45:00,SELL,26274.6,26266.91,26278.45,65,7.69,450.0,1,TARGET,90.0,87500.0
2025-05-12 10:00:00,2025-05-12 10:10:00,SELL,26344.2,26336.51,26348.05,65,7.69,450.0,1,TARGET,90.0,87950.0
2025-05-12 10:40:00,2025-05-12 10:50:00,SELL,26376.95,26369.26,26380.8,65,7.69,450.0,1,TARGET,90.0,88400.0
2025-05-12 10:50:00,2025-05-12 11:00:00,BUY,26376.8,26384.49,26372.95,65,7.69,450.0,1,TARGET,70.1,88850.0
2025-05-12 11:10:00,2025-05-12 11:20:00,SELL,26391.8,26384.11,26395.65,65,-3.85,-300.0,1,STOP_LOSS,90.0,88550.0
2025-05-13 09:55:00,2025-05-13 10:05:00,SELL,26275.55,26267.86,26279.4,65,7.69,450.0,1,TARGET,90.0,89000.0
