entry_time,exit_time,position,entry_price,exit_price,target_price,stop_loss_price,lot_size,pnl_points,pnl_currency,bars_held,exit_reason,confidence,capital
2025-03-24 11:20:00,2025-03-24 11:35:00,BUY,23619.5,23618.59,23626.17,23616.17,300,-0.91,-324.0,3,TRAILING_STOP_1,90.0,Rs.1.38 L
2025-03-25 10:15:00,2025-03-25 10:30:00,BUY,23798.2,23802.39,23804.87,23794.87,300,4.19,1206.5,3,TRAILING_STOP_2,90.0,Rs.1.39 L
2025-03-25 11:05:00,2025-03-25 11:10:00,SELL,23686.1,23689.43,23679.43,23689.43,300,-3.33,-1050.0,1,STOP_LOSS,90.0,Rs.1.38 L
2025-03-25 11:20:00,2025-03-25 11:30:00,SELL,23671.75,23670.71,23665.08,23675.08,300,1.04,261.0,2,TRAILING_STOP_1,90.0,Rs.1.38 L
2025-03-25 11:35:00,2025-03-25 11:40:00,SELL,23645.7,23649.03,23639.03,23649.03,300,-3.33,-1050.0,1,STOP_LOSS,90.0,Rs.1.37 L
2025-03-26 14:05:00,2025-03-26 14:10:00,SELL,23550.55,23553.88,23543.88,23553.88,300,-3.33,-1050.0,1,STOP_LOSS,90.0,Rs.1.36 L
2025-03-27 10:05:00,2025-03-27 10:10:00,BUY,23611.9,23608.57,23618.57,23608.57,300,-3.33,-1050.0,1,STOP_LOSS,90.0,Rs.1.35 L
2025-03-27 10:20:00,2025-03-27 10:25:00,BUY,23613.65,23610.32,23620.32,23610.32,300,-3.33,-1050.0,1,STOP_LOSS,90.0,Rs.1.34 L
2025-03-28 13:15:00,2025-03-28 13:20:00,SELL,23485.9,23489.23,23479.23,23489.23,300,-3.33,-1050.0,1,STOP_LOSS,90.0,Rs.1.33 L
2025-03-28 13:25:00,2025-03-28 13:30:00,SELL,23493.95,23497.28,23487.28,23497.28,300,-3.33,-1050.0,1,STOP_LOSS,90.0,Rs.1.32 L
